SITE_NO,SITE_NAME,BUSINESS_NO,BUSINESS_NAME,YEAR,WEEK_NO,WEEK_BEGINNING,WEEKLY_AVERAGE_AF,REASON_FOR_NO_COUNT,SG_ACTION,MITIGATION,ADDITIONAL_MITIGATION,ADDITIONAL_INFORMATION
FS0597,Meil Bay,FB0095,Cooke Aquaculture Scotland Ltd,2022,44,2022-10-31,0.82,,,,,
FS1340,Mill Bay,FB0095,Cooke Aquaculture Scotland Ltd,2022,44,2022-10-31,,Weather,,,,
FS1290,Shuna SW (Rubh'an Trilleachain),FB0134,Kames Fish Farming Ltd,2022,44,2022-10-31,0.01,,,,,
FS1338,Scalpay,FB0119,Mowi Scotland Ltd,2022,44,2022-10-31,0.13,,,,,
FS1288,Etive 6,FB0456,Dawnfresh Farming Ltd,2022,44,2022-10-31,2.56,,,,,
FS1337,Hunda,FB0125,Scottish Sea Farms Ltd,2022,44,2022-10-31,0.1,,,,,
FS1286,Muck,FB0119,Mowi Scotland Ltd,2022,44,2022-10-31,0.41,,,,,
FS1335,"Swarta Skerry, Dury Voe",FB0125,Scottish Sea Farms Ltd,2022,44,2022-10-31,,Veterinary advice,,,,
FS1282,Greanamul,FB0169,Bakkafrost Scotland,2022,44,2022-10-31,0.18,,,,,
FS1280,Loch Carnan,FB0398,Loch Duart Ltd,2022,44,2022-10-31,0.13,,,,,
FS1331,Lober Rock (SMH),FB0125,Scottish Sea Farms Ltd,2022,44,2022-10-31,,Veterinary advice,,,,
FS1330,Sconser Quarry,FB0119,Mowi Scotland Ltd,2022,44,2022-10-31,,Weather,,,,
FS1317,Rum,FB0119,Mowi Scotland Ltd,2022,44,2022-10-31,0.19,,,,,
FS1277,Reibinish,FB0169,Bakkafrost Scotland,2022,44,2022-10-31,,Withdrawal period prior to harvesting,,,,
FS1315,Maaey,FB0169,Bakkafrost Scotland,2022,44,2022-10-31,0.03,,,,,
FS1275,Flaeshins,FB0095,Cooke Aquaculture Scotland Ltd,2022,44,2022-10-31,0.2,,,,,
FS1274,Kishorn West,FB0125,Scottish Sea Farms Ltd,2022,44,2022-10-31,,Veterinary advice,,,,
FS1267,Gometra,FB0169,Bakkafrost Scotland,2022,44,2022-10-31,0,,,,,
FS1262,Sgeir Dughall,FB0169,Bakkafrost Scotland,2022,44,2022-10-31,0.51,,,,,
FS1354,Shuna Point,FB0125,Scottish Sea Farms Ltd,2022,44,2022-10-31,0.06,,,,,
FS1305,Westerbister,FB0125,Scottish Sea Farms Ltd,2022,44,2022-10-31,0.02,,,,,
FS1304,Maragay Mor,FB0169,Bakkafrost Scotland,2022,44,2022-10-31,0.05,,,,,
FS1349,Bay of Holland,FB0095,Cooke Aquaculture Scotland Ltd,2022,44,2022-10-31,,Weather,,,,
FS1297,Tabhaigh,FB0119,Mowi Scotland Ltd,2022,44,2022-10-31,0,,,,,
FS1344,Invertote Salmon Farm,FB0579,Organic Sea Harvest Ltd,2022,44,2022-10-31,0.06,,,,,
