fid,i,area,depth,trinode_1,trinode_2,trinode_3
"2","2",60485.88337126,13.4072751998901,"22","1","2"
"4","4",32024.8877522033,23.1603374481201,"24","2","3"
"6","6",52554.4978277683,22.6218204498291,"3","4","25"
"8","8",82170.5031819306,24.2438259124756,"26","4","5"
"10","10",93879.3349090368,30.0505256652832,"6","27","5"
"12","12",89686.7716766074,41.4305191040039,"28","6","7"
"13","13",94575.7437863797,46.1011657714844,"7","8","28"
"15","15",98252.0953580178,48.1588172912598,"9","29","8"
"17","17",116928.024850376,75.9557342529297,"10","30","9"
"21","21",69322.7225297706,77.0423965454102,"11","33","10"
"22","22",84926.344690226,59.8304901123047,"11","12","33"
"24","24",97352.3031489179,53.807544708252,"13","34","12"
"26","26",88755.4292697087,33.365665435791,"13","14","35"
"28","28",124630.617041029,56.4987144470215,"15","36","14"
"30","30",118213.70851022,105.723304748535,"16","37","15"
"33","33",145650.298116028,125.489212036133,"39","16","17"
"35","35",202530.667022552,167.223266601563,"40","17","18"
"38","38",137039.663208582,118.389610290527,"19","42","18"
"40","40",62092.7426552325,45.6859855651855,"20","43","19"
"41","41",52234.9349938054,18.717248916626,"21","43","20"
"5120","5120",73413.5315727517,1.53117597103119,"2675","2775","2774"
"5121","5121",72683.1135171503,1.35411727428436,"2675","2776","2775"
"5302","5302",107151.234489849,11.8660335540771,"2773","2774","2871"
"5477","5477",91994.1516068019,20.7614707946777,"2871","2964","2870"
"5644","5644",85280.2452568039,32.8493804931641,"2964","3055","3054"
"5809","5809",72305.7856196612,46.4283752441406,"3054","3055","3143"
"5952","5952",81371.0263529122,47.072078704834,"3221","3142","3143"
