file,fileDate,time_raw,layer,time_dt,mesh,timeRes,date,timeStep,i,timeCalculated
linnhe7_20211101_0001.nc,20211101,2021-11-01T00:00:00.000000,0,2021-11-01T00:00:00Z,linnhe7,5min,2021-11-01,NA,0,2021-11-01T00:00:00Z
linnhe7_20211101_0001.nc,20211101,1635724800,0,2021-11-01T00:00:00Z,linnhe7,1h,2021-11-01,NA,0,2021-11-01T00:00:00Z
westcoms2_20211101_0001.nc,20211101,2021-11-01T00:00:00.000000,0,2021-11-01T00:00:00Z,WeStCOMS2,5min,2021-11-01,NA,0,2021-11-01T00:00:00Z
westcoms2_20211101_0006.nc,20211101,2021-11-01T00:00:00.000000,0,2021-11-01T00:00:00Z,WeStCOMS2,1h,2021-11-01,NA,0,2021-11-01T00:00:00Z
linnhe7_20211101_0001.nc,20211101,2021-11-01T00:05:00.000000,1,2021-11-01T00:05:00Z,linnhe7,5min,2021-11-01,5,1,2021-11-01T00:05:00Z
westcoms2_20211101_0001.nc,20211101,2021-11-01T00:05:00.000000,1,2021-11-01T00:05:00Z,WeStCOMS2,5min,2021-11-01,5,1,2021-11-01T00:05:00Z
linnhe7_20211101_0001.nc,20211101,2021-11-01T00:10:00.000000,2,2021-11-01T00:10:00Z,linnhe7,5min,2021-11-01,5,2,2021-11-01T00:10:00Z
westcoms2_20211101_0001.nc,20211101,2021-11-01T00:10:00.000000,2,2021-11-01T00:10:00Z,WeStCOMS2,5min,2021-11-01,5,2,2021-11-01T00:10:00Z
linnhe7_20211108_0001.nc,20211108,1635725440,2,2021-11-01T00:10:40Z,linnhe7,1h,2021-11-01,10.6666666666667,1,2021-11-01T00:10:00Z
linnhe7_20211108_0001.nc,20211108,1635725696,3,2021-11-01T00:14:56Z,linnhe7,1h,2021-11-01,4.26666666666667,2,2021-11-01T00:15:00Z
linnhe7_20211101_0001.nc,20211101,2021-11-01T00:15:00.000000,3,2021-11-01T00:15:00Z,linnhe7,5min,2021-11-01,5,3,2021-11-01T00:15:00Z
westcoms2_20211101_0001.nc,20211101,2021-11-01T00:15:00.000000,3,2021-11-01T00:15:00Z,WeStCOMS2,5min,2021-11-01,5,3,2021-11-01T00:15:00Z
linnhe7_20211108_0001.nc,20211108,1635725952,4,2021-11-01T00:19:12Z,linnhe7,1h,2021-11-01,4.26666666666667,3,2021-11-01T00:20:00Z
