i,area,depth,trinode_1,trinode_2,trinode_3,lochRegion
"53068",129610.234863281,122.957176208496,"29598","30053","30052","7"
"53069",109400.552734375,144.310211181641,"30054","30053","29598","7"
"53070",111208.968261719,160.892913818359,"29598","29599","30054","7"
"53071",110849.237304688,189.180740356445,"30055","30054","29599","7"
"53072",106737.559570313,198.658996582031,"29599","30056","30055","7"
"53073",104732.376464844,195.439727783203,"29599","29600","30056","7"
"53074",98879.8120117188,164.212203979492,"30057","30056","29600","7"
"53075",92364.7119140625,125.41633605957,"30057","29600","29601","7"
"53076",99283.6875,71.5874252319336,"30057","29601","30058","7"
"53077",86951.0029296875,54.2357711791992,"29602","30058","29601","7"
"53078",86254.8325195313,32.7088012695313,"29602","30059","30058","7"
"53079",77289.9091796875,29.9594802856445,"29602","29603","30059","7"
"53080",61723.5673828125,16.6780395507813,"30060","30059","29603","7"
"53081",52454.4165039063,11.1359777450562,"30060","29603","29604","7"
"53896",85415.7578125,45.501579284668,"30050","30514","30513","7"
"53897",70987.1860351563,61.1773719787598,"30050","30515","30514","7"
"53898",119758.877441406,82.6006469726563,"30050","30051","30515","7"
"53899",97100.0361328125,101.112144470215,"30516","30515","30051","7"
"53900",126732.658203125,105.788871765137,"30052","30516","30051","7"
"53901",108259.2109375,108.135971069336,"30517","30516","30052","7"
"53902",114616.946777344,120.641845703125,"30053","30517","30052","7"
"53903",109538.84375,124.675971984863,"30517","30053","30518","7"
"53904",84540.185546875,144.108169555664,"30519","30518","30053","7"
"53905",87538.05859375,161.42707824707,"30519","30053","30054","7"
"53906",95993.736328125,180.129699707031,"30054","30520","30519","7"
"53907",105826.271484375,191.300659179688,"30054","30055","30520","7"
"53908",109155.08203125,200.597198486328,"30521","30520","30055","7"
"53909",103373.222167969,201.885971069336,"30521","30055","30522","7"
"53910",102931.976074219,202.067672729492,"30522","30055","30056","7"
"53911",94851.466796875,177.281494140625,"30523","30522","30056","7"
"53912",94426.8037109375,142.645278930664,"30523","30056","30057","7"
"53913",76655.6474609375,90.6023559570313,"30057","30524","30523","7"
"53914",79045.6435546875,58.3403701782227,"30058","30524","30057","7"
"53915",92293.0971679688,28.0442028045654,"30525","30524","30058","7"
"53916",79650.4365234375,15.6077318191528,"30525","30058","30526","7"
"53917",94617.4833984375,19.4814872741699,"30526","30058","30059","7"
"53918",56004.6225585938,11.2321739196777,"30527","30526","30059","7"
"53919",52229.0654296875,11.1780490875244,"30527","30059","30060","7"
"54693",85961.6958007813,59.7472229003906,"30961","30959","30512","7"
"54694",79207.3051757813,38.776912689209,"30962","30961","30512","7"
"54695",75447.0166015625,35.826416015625,"30512","30513","30962","7"
"54696",67064.7436523438,36.4395637512207,"30513","30963","30962","7"
"54697",54250.7021484375,39.1305961608887,"30963","30513","30514","7"
"54698",58689.5786132813,41.1534729003906,"30514","30964","30963","7"
"54699",69000.609375,62.2894248962402,"30514","30515","30964","7"
"54700",54931.2890625,79.2452545166016,"30964","30515","30965","7"
"54701",59537.5986328125,96.4861373901367,"30966","30965","30515","7"
"54702",90026.384765625,101.825469970703,"30515","30516","30966","7"
"54703",87682.1572265625,107.04719543457,"30516","30517","30966","7"
"54704",104052.623535156,105.779136657715,"30967","30966","30517","7"
"54705",105612.505859375,110.902030944824,"30518","30967","30517","7"
"54706",119038.435546875,111.914367675781,"30967","30518","30968","7"
"54707",128141.749023438,129.823974609375,"30969","30968","30518","7"
"54708",84839.9111328125,148.24382019043,"30969","30518","30519","7"
"54709",95228.8583984375,174.487991333008,"30519","30520","30969","7"
"54710",115643.601074219,185.135620117188,"30969","30520","30970","7"
"54711",103311.3046875,200.073867797852,"30970","30520","30521","7"
"54712",114992.63671875,181.961639404297,"30521","30971","30970","7"
"54713",111152.661132813,176.436935424805,"30972","30971","30521","7"
"54714",99041.0893554688,195.837936401367,"30522","30972","30521","7"
"54715",123138.428222656,150.64404296875,"30972","30522","30973","7"
"54716",117728.176269531,131.905883789063,"30523","30973","30522","7"
"54717",83106.4560546875,79.1271820068359,"30973","30523","30524","7"
"54718",98234.7241210938,44.4477767944336,"30524","30974","30973","7"
"54719",106788.947753906,25.6267852783203,"30974","30524","30525","7"
"54720",54457.095703125,13.4439058303833,"30974","30525","30975","7"
"55446",87768.796875,29.8111171722412,"31391","31390","30955","7"
"55447",68005.03125,31.0686740875244,"31392","31391","30955","7"
"55448",113739.406738281,36.3895225524902,"30956","31392","30955","7"
"55449",97944.0380859375,36.6034469604492,"31393","31392","30956","7"
"55450",109657.160644531,37.5135688781738,"31393","30956","30957","7"
"55451",90698.859375,33.092456817627,"31394","31393","30957","7"
"55452",88704.048828125,36.7969551086426,"31395","31394","30957","7"
"55453",96462.5390625,47.7551879882813,"31395","30957","30958","7"
"55454",90285.5756835938,67.6759719848633,"30958","30959","31395","7"
"55455",97046.8212890625,64.6338272094727,"31396","31395","30959","7"
"55456",82423.4599609375,68.8280487060547,"30961","31396","30959","7"
"55457",62611.4887695313,57.5802192687988,"31397","31396","30961","7"
"55458",50423.58984375,57.6914329528809,"31398","31397","30961","7"
"55459",52654.88671875,47.9689598083496,"31398","30961","30962","7"
"55460",40051.2114257813,38.1889877319336,"31398","30962","31399","7"
"55461",34797.9956054688,29.6100883483887,"30963","31399","30962","7"
"55462",33655.802734375,27.2874317169189,"31400","31399","30963","7"
"55463",42979.8266601563,36.1397819519043,"30964","31400","30963","7"
"55464",37784.13671875,35.2429275512695,"31401","31400","30964","7"
"55465",31273.83203125,40.228630065918,"31401","30964","31402","7"
"55466",44153.6186523438,60.6686210632324,"31402","30964","30965","7"
"55467",64412.5439453125,79.2064361572266,"31403","31402","30965","7"
"55468",52683.490234375,101.371032714844,"31403","30965","30966","7"
"55469",83758.0419921875,105.442306518555,"31403","30966","30967","7"
"55470",96275.5258789063,107.700263977051,"31403","30967","31404","7"
"55471",125508.231445313,109.049438476563,"31404","30967","30968","7"
"55472",141023.022949219,110.332534790039,"30968","31405","31404","7"
"55473",124823.288085938,103.205924987793,"30968","31406","31405","7"
"55474",149039.094726563,117.726493835449,"31406","30968","31407","7"
"55475",132724.093261719,139.395233154297,"31407","30968","30969","7"
"55476",114311.307128906,168.46272277832,"30970","31407","30969","7"
"55477",106689.196289063,180.681640625,"31408","31407","30970","7"
"55478",98967.9321289063,179.242309570313,"30971","31408","30970","7"
"55479",109834.625,158.444717407227,"31408","30971","31409","7"
"55480",111934.322265625,125.81909942627,"31409","30971","31410","7"
"55481",86469.0400390625,105.683258056641,"30971","31411","31410","7"
"55482",93776.2377929688,135.478775024414,"31411","30971","30972","7"
"55483",78817.5581054688,103.199829101563,"31411","30972","31412","7"
"55484",97311.2138671875,98.9640960693359,"30973","31412","30972","7"
"55485",86197.0634765625,44.3630752563477,"31413","31412","30973","7"
"55486",105421.113769531,36.1585350036621,"31413","30973","30974","7"
"55487",64514.86328125,19.6111030578613,"31413","30974","31414","7"
"55488",72521.365234375,15.7174644470215,"31414","30974","30975","7"
"55489",37397.0668945313,8.89503574371338,"31414","30975","31415","7"
"56224",103541.448242188,27.0706214904785,"31840","31390","31841","7"
"56225",93645.8208007813,28.8536834716797,"31841","31390","31842","7"
"56226",88527.146484375,28.2371425628662,"31842","31390","31391","7"
"56227",67757.1811523438,29.1789131164551,"31842","31391","31843","7"
"56228",81123.9711914063,30.4905567169189,"31843","31391","31392","7"
"56229",101800.662597656,30.1976127624512,"31843","31392","31844","7"
"56230",103214.455078125,30.9896545410156,"31393","31844","31392","7"
"56231",100950.662597656,30.1011867523193,"31844","31393","31845","7"
"56232",84848.2060546875,31.2938652038574,"31394","31845","31393","7"
"56233",76358.7451171875,30.2309761047363,"31394","31846","31845","7"
"56234",82233.994140625,35.3002014160156,"31394","31395","31846","7"
"56235",87214.6264648438,35.3981056213379,"31395","31847","31846","7"
